업종명,업소명,소재지(도로명),소재지(지번),소재지전화,업태명
일반음식점,여자만궁중칼국수,충청북도 청주시 상당구 가덕면 미천고은로 114,충청북도 청주시 상당구 가덕면 국전리 226 ,043 -292 -4566,한식
일반음식점,청남대화련가든1,"충청북도 청주시 상당구 가덕면 미천고은로 90-12, 1층",충청북도 청주시 상당구 가덕면 국전리 233-1 1층 ,043 -298 -4500,한식
일반음식점,청남대화련가든,,충청북도 청주시 상당구 가덕면 국전리 233-1 2층 ,043 -298 -4500,한식
일반음식점,광동성,충청북도 청주시 상당구 가덕면 단재로 1625,충청북도 청주시 상당구 가덕면 금거리 161-1 , 043- 298-3995,한식
일반음식점,퇴근길호프,충청북도 청주시 상당구 가덕면 단재로 1458,충청북도 청주시 상당구 가덕면 병암리 118-5 , 043- 254-8583,패스트푸드
일반음식점,가덕반점,충청북도 청주시 상당구 가덕면 병암3길 11-2,충청북도 청주시 상당구 가덕면 병암리 137-9 , 043- 254-5271,중국식
일반음식점,남가네 설악추어탕(가덕점),"충청북도 청주시 상당구 가덕면 단재로 1484, 주3동 1층",충청북도 청주시 상당구 가덕면 병암리 159-1 주3동 ,,한식
일반음식점,늘찬굴림만두,"충청북도 청주시 상당구 가덕면 단재로 1410, 1층",충청북도 청주시 상당구 가덕면 병암리 238-5 ,043 -292 -1555,한식
일반음식점,강촌곤드레,"충청북도 청주시 상당구 가덕면 단재로 1414, 1층","충청북도 청주시 상당구 가덕면 병암리 238-9 외1필지(238-2)(주2,주4) ",043 -287 -7724,한식
일반음식점,너나드리,충청북도 청주시 상당구 가덕면 단재로 1396,"충청북도 청주시 상당구 가덕면 병암리 268-2 268-2,5 ",043 -292 -2223,한식
일반음식점,신대박부속구이,"충청북도 청주시 상당구 가덕면 단재로 1388, 1층",충청북도 청주시 상당구 가덕면 병암리 271-2 ,,식육(숯불구이)
일반음식점,(주)김동주의복어찬가본점,충청북도 청주시 상당구 가덕면 원병암1길 2-1,"충청북도 청주시 상당구 가덕면 병암리 44-8 , 43-5 ",043 -284 -9255,한식
일반음식점,흥부네부뚜막,충청북도 청주시 상당구 가덕면 단재로 1434-6,충청북도 청주시 상당구 가덕면 병암리 95-2 ,043 -283 -6080,한식
일반음식점,삼항식당,"충청북도 청주시 상당구 가덕면 상장인차로 151-4, 1층",충청북도 청주시 상당구 가덕면 삼항리 233-1 ,,한식
일반음식점,자연흑염소전문집,"충청북도 청주시 상당구 가덕면 국전삼항길 142-2, B동",충청북도 청주시 상당구 가덕면 삼항리 490-2 B동 ,043 -275 -1116,식육(숯불구이)
일반음식점,주은가든,충청북도 청주시 상당구 가덕면 상장인차로 52,충청북도 청주시 상당구 가덕면 삼항리 89 , 043- 294-2034,한식
일반음식점,대장간이야기,"충청북도 청주시 상당구 가덕면 고은두산로 203, 1층",충청북도 청주시 상당구 가덕면 상대리 302 1층 ,,기타
일반음식점,우남가든,충청북도 청주시 상당구 가덕면 은행상야로 389,충청북도 청주시 상당구 가덕면 상야리 20-1 , 043- 286-4813,한식
일반음식점,두부마을,충청북도 청주시 상당구 가덕면 은행상야로 442,충청북도 청주시 상당구 가덕면 상야리 34-1 , 043- 297-6995,한식
일반음식점,닭마을,"충청북도 청주시 상당구 가덕면 가덕시동길 10, 1층",충청북도 청주시 상당구 가덕면 시동리 175-3 1층 ,043 -283 -9080,한식
일반음식점,새터밥집,"충청북도 청주시 상당구 가덕면 인차시동로 65, 1층",충청북도 청주시 상당구 가덕면 인차리 172-4 1층 ,043 -288 -0545,한식
일반음식점,대성식당,충청북도 청주시 상당구 가덕면 보청대로 4641,충청북도 청주시 상당구 가덕면 인차리 215-10 ,043 -285 -3033,한식
일반음식점,아구랑돈이랑,충청북도 청주시 상당구 가덕면 상장인차로 570,충청북도 청주시 상당구 가덕면 인차리 325-1 ,,한식
일반음식점,대청불고기,충청북도 청주시 상당구 가덕면 보청대로 4657,충청북도 청주시 상당구 가덕면 인차리 327-16 ,043 -297 -5937,한식
일반음식점,육백만두,충청북도 청주시 상당구 가덕면 상장인차로 565-1,충청북도 청주시 상당구 가덕면 인차리 327-18 ,043 -298 -5932,한식
일반음식점,경아두마리치킨가덕점,"충청북도 청주시 상당구 가덕면 보청대로 4660, 1층",충청북도 청주시 상당구 가덕면 인차리 329-4 1층 ,043 -296 -7788,호프/통닭
일반음식점,대일반점,충청북도 청주시 상당구 가덕면 보청대로 4661-1,충청북도 청주시 상당구 가덕면 인차리 331-5 , 043- 292-8845,중국식
일반음식점,한계산양골가든,충청북도 청주시 상당구 가덕면 한계길 50,충청북도 청주시 상당구 가덕면 한계리 161-2 , 043- 297-5565,한식
일반음식점,한계리산삼농원가든,충청북도 청주시 상당구 가덕면 한계1길 191-9,충청북도 청주시 상당구 가덕면 한계리 285-3 ,043 -294 -2292,한식
일반음식점,한계리식당,"충청북도 청주시 상당구 가덕면 한계1길 170, 1층",충청북도 청주시 상당구 가덕면 한계리 294-1 1층 ,043 -294 -6240,한식
일반음식점,에덴정,충청북도 청주시 상당구 가덕면 은행상야로 259,충청북도 청주시 상당구 가덕면 한계리 91-2 , 043- 254-7746,한식
일반음식점,욜로,"충청북도 청주시 상당구 쇠내로 98, 1층 (금천동)",충청북도 청주시 상당구 금천동 100-18 1층 ,,호프/통닭
일반음식점,청안왕만두찐빵,"충청북도 청주시 상당구 쇠내로 98-1, 1층 (금천동)",충청북도 청주시 상당구 금천동 100-22 ,,한식
일반음식점,촌돼지 주먹고기,"충청북도 청주시 상당구 쇠내로 98-1 (금천동,(1층))",충청북도 청주시 상당구 금천동 100-22 (1층) , 043- 222-2504,기타
일반음식점,우리집닭강정,"충청북도 청주시 상당구 쇠내로 100, 1층 (금천동)",충청북도 청주시 상당구 금천동 100-23 ,043 -222 -3373,한식
일반음식점,커피소울(coffee soul),"충청북도 청주시 상당구 쇠내로 100, 1층 (금천동)",충청북도 청주시 상당구 금천동 100-23 ,,경양식
일반음식점,또또만두,"충청북도 청주시 상당구 쇠내로 102, 1층 (금천동)",충청북도 청주시 상당구 금천동 100-24 1층 ,043 -223 -5328,분식
일반음식점,따식이네,충청북도 청주시 상당구 쇠내로 99 (금천동),충청북도 청주시 상당구 금천동 100-6 1층 ,043 -2379-283,분식
일반음식점,25시김밥,충청북도 청주시 상당구 쇠내로 101 (금천동),충청북도 청주시 상당구 금천동 100-7 , 043- 256-3578,분식
일반음식점,술항아리,충청북도 청주시 상당구 중고개로 261 (금천동),충청북도 청주시 상당구 금천동 10-1 ,043 -250 -1005,통닭(치킨)
일반음식점,밀과보리,"충청북도 청주시 상당구 꽃산서로 4-3, 1층 (금천동)",충청북도 청주시 상당구 금천동 101-10 1층 ,043 -225 -0076,한식
일반음식점,오막탄,"충청북도 청주시 상당구 쇠내로 97-1 (금천동,1층)",충청북도 청주시 상당구 금천동 102-5 1층 ,,통닭(치킨)
일반음식점,꾸움제작소,"충청북도 청주시 상당구 꽃산서로 24, 1층 (금천동)",충청북도 청주시 상당구 금천동 104-6 ,,기타
일반음식점,이향복손칼국수,충청북도 청주시 상당구 쇠내로104번길 9 (금천동),충청북도 청주시 상당구 금천동 109-20 ,,분식
일반음식점,금천순대,충청북도 청주시 상당구 쇠내로 104 (금천동),충청북도 청주시 상당구 금천동 109-25 , 043- 253-1970,한식
일반음식점,용호식당,"충청북도 청주시 상당구 쇠내로 108 (금천동,(1층))",충청북도 청주시 상당구 금천동 109-7 (1층) ,043 -222 -0061,한식
일반음식점,면대장,"충청북도 청주시 상당구 쇠내로 110-1 (금천동, 1층)",충청북도 청주시 상당구 금천동 110-19 ,043 -224 -8768,분식
일반음식점,신떡스토랑,"충청북도 청주시 상당구 쇠내로 112 (금천동,(1층))",충청북도 청주시 상당구 금천동 110-20 (1층) ,043 -225 -3939,통닭(치킨)
일반음식점,복덩이김밥,"충청북도 청주시 상당구 쇠내로 117-2 (금천동,(1층))",충청북도 청주시 상당구 금천동 110-33 (1층) ,043 -222 -8252,분식
일반음식점,우리집김밥,"충청북도 청주시 상당구 쇠내로 110, 1층 (금천동)",충청북도 청주시 상당구 금천동 110-4 1층 ,043 -222 -5073,김밥(도시락)
일반음식점,음메골,"충청북도 청주시 상당구 쇠내로 127 (금천동,(1층))",충청북도 청주시 상당구 금천동 113-6 (1층) ,,분식
일반음식점,생막창드라마(용암점),"충청북도 청주시 상당구 쇠내로125번길 5, 1층 (금천동)",충청북도 청주시 상당구 금천동 113-7 ,,식육(숯불구이)
일반음식점,소문난정아네,,충청북도 청주시 상당구 금천동 113-7 1층 ,043 -250 -8777,호프/통닭
일반음식점,구여사컵밥(용암.금천점),"충청북도 청주시 상당구 꽃산서로8번길 70-4, 1층 (금천동)",충청북도 청주시 상당구 금천동 114-6 1층 ,043 -295 -7002,분식
일반음식점,또래오래금천점,"충청북도 청주시 상당구 쇠내로135번길 16 (금천동,(1층))",충청북도 청주시 상당구 금천동 115-27 (1층) ,,호프/통닭
일반음식점,고기에(心)담다,"충청북도 청주시 상당구 쇠내로135번길 16, 1층 (금천동)",충청북도 청주시 상당구 금천동 115-27 1층 ,043 -223 -6653,한식
일반음식점,뉴타운투다리(뉴타운점),충청북도 청주시 상당구 꽃산서로8번길 100 (금천동),충청북도 청주시 상당구 금천동 115-3 , 043- 223-2542,호프/통닭
일반음식점,춘천계,"충청북도 청주시 상당구 꽃산서로8번길 100 (금천동,1층(106호))",충청북도 청주시 상당구 금천동 115-3 1층(106호) ,,호프/통닭
일반음식점,왕건중화요리,"충청북도 청주시 상당구 꽃산서로8번길 77, 1층 (금천동)",충청북도 청주시 상당구 금천동 115-30 1층 ,,중국식
일반음식점,해피데이,충청북도 청주시 상당구 꽃산서로8번길 81 (금천동),충청북도 청주시 상당구 금천동 115-31 ,043 -221 -6962,기타
일반음식점,팔도무한푸드(단체급식)&도시락,"충청북도 청주시 상당구 꽃산동로 46, 1층 (금천동)",충청북도 청주시 상당구 금천동 115-35 ,043 -298 -2918,한식
일반음식점,이안에,충청북도 청주시 상당구 꽃산서로8번길 82 (금천동),충청북도 청주시 상당구 금천동 115-45 ,043 -222 -3292,호프/통닭
일반음식점,먹꼬또먹꼬,충청북도 청주시 상당구 꽃산서로8번길 82 (금천동),충청북도 청주시 상당구 금천동 115-45 ,043 -223 -1929,분식
일반음식점,놀부촌생고기,충청북도 청주시 상당구 쇠내로125번길 18 (금천동),충청북도 청주시 상당구 금천동 115-65 ,043 - 250-3737,한식
일반음식점,후라이드참잘하는집(용암금천점),"충청북도 청주시 상당구 쇠내로125번길 32, 1층 (금천동)",충청북도 청주시 상당구 금천동 115-72 1층 ,043 -224 -7441,호프/통닭
일반음식점,사대부찜닭(용암금천점),충청북도 청주시 상당구 꽃산서로8번길 73 (금천동),충청북도 청주시 상당구 금천동 115-84 ,,호프/통닭
일반음식점,램월드양꼬치,"충청북도 청주시 상당구 꽃산서로8번길 73, 1층 (금천동)",충청북도 청주시 상당구 금천동 115-84 1층 ,043 -222 -3570,중국식
일반음식점,순살만공격,"충청북도 청주시 상당구 쇠내로 135, 1층 (금천동)",충청북도 청주시 상당구 금천동 116-6 ,,호프/통닭
일반음식점,명품생고기,"충청북도 청주시 상당구 쇠내로 137 (금천동,(1층))",충청북도 청주시 상당구 금천동 116-7 (1층) ,043 -255 -5789,식육(숯불구이)
일반음식점,간이역,충청북도 청주시 상당구 쇠내로 137 (금천동),충청북도 청주시 상당구 금천동 116-7 1층 ,043 -221 -0456,호프/통닭
일반음식점,마이웨이,충청북도 청주시 상당구 쇠내로 134 (금천동),충청북도 청주시 상당구 금천동 117-10 , 043- 255-7111,호프/통닭
일반음식점,항아리손칼국수,"충청북도 청주시 상당구 쇠내로 134 (금천동,(1층))",충청북도 청주시 상당구 금천동 117-10 (1층) ,043 -285 -6969,한식
일반음식점,순수통닭,"충청북도 청주시 상당구 쇠내로 138, 1층 (금천동)",충청북도 청주시 상당구 금천동 117-5 1층 ,043 -221 -7787,호프/통닭
일반음식점,장가네생갈비,"충청북도 청주시 상당구 쇠내로 138, 1층 (금천동)",충청북도 청주시 상당구 금천동 117-5 1층 ,043 -222 -2388,한식
일반음식점,돼지돈가,"충청북도 청주시 상당구 쇠내로 138, 1층 (금천동)",충청북도 청주시 상당구 금천동 117-5 1층 ,043 -904 -9292,식육(숯불구이)
일반음식점,"맛있게먹는반칼로리식당(금천,용암점)","충청북도 청주시 상당구 쇠내로 138, 1층 (금천동)",충청북도 청주시 상당구 금천동 117-5 1층 ,,정종/대포집/소주방
일반음식점,피자와치킨의러브레터,"충청북도 청주시 상당구 쇠내로 132-1, 1층 (금천동)",충청북도 청주시 상당구 금천동 117-9 ,,한식
일반음식점,봉명동내카페(금천점),"충청북도 청주시 상당구 쇠내로 132-1, 1층 (금천동)",충청북도 청주시 상당구 금천동 117-9 1층 ,,기타
일반음식점,와줘서고마워,"충청북도 청주시 상당구 쇠내로 122 (금천동, 1층)",충청북도 청주시 상당구 금천동 118-13 1층 ,,호프/통닭
일반음식점,버거스테이지 용암금천점,"충청북도 청주시 상당구 쇠내로 130, 1층 (금천동)",충청북도 청주시 상당구 금천동 118-30 ,,기타
일반음식점,행복한집,"충청북도 청주시 상당구 쇠내로 128-1, 1층 (금천동)",충청북도 청주시 상당구 금천동 118-36 ,,한식
일반음식점,광어야,"충청북도 청주시 상당구 쇠내로126번길 4, 1층 (금천동)",충청북도 청주시 상당구 금천동 118-5 1층 ,043 -225 -2883,횟집
일반음식점,라사천마라탕(청주1호점),"충청북도 청주시 상당구 쇠내로126번길 4, 1층 (금천동)",충청북도 청주시 상당구 금천동 118-5 1층 ,,호프/통닭
일반음식점,볶음상점,충청북도 청주시 상당구 수영로210번길 21-2 (금천동),충청북도 청주시 상당구 금천동 121-1 ,043 -253 -8264,통닭(치킨)
일반음식점,수레바퀴,"충청북도 청주시 상당구 영운천로91번길 65, 10(상가)동 1층 (금천동)",충청북도 청주시 상당구 금천동 122-1 1층 10(상가)동 ,,정종/대포집/소주방
일반음식점,깻잎두마리치킨,"충청북도 청주시 상당구 쇠내로126번길 29, 1층 (금천동)",충청북도 청주시 상당구 금천동 122-18 1층 ,,호프/통닭
일반음식점,바니치킨,"충청북도 청주시 상당구 수영로210번길 4 (금천동,1층)",충청북도 청주시 상당구 금천동 126-10 1층 ,043 -222 -0043,호프/통닭
일반음식점,구이나라,충청북도 청주시 상당구 수영로 206 (금천동),충청북도 청주시 상당구 금천동 131-12 , 043- 258-2839,한식
일반음식점,종점생고기,"충청북도 청주시 상당구 수영로218번길 2, 1층 101호 (금천동)",충청북도 청주시 상당구 금천동 131-44 1층 101호,043 -224 -9282,호프/통닭
일반음식점,정상,"충청북도 청주시 상당구 수영로218번길 2, 1층 102호 (금천동)",충청북도 청주시 상당구 금천동 131-44 1층 102호,,일식
일반음식점,피자명,충청북도 청주시 상당구 수영로 214-1 (금천동),충청북도 청주시 상당구 금천동 131-48 ,043 -259 -9900,분식
일반음식점,100년의맛,"충청북도 청주시 상당구 쇠내로84번길 9 (금천동, 1층)",충청북도 청주시 상당구 금천동 132-17 1층 ,043 -222 -0047,한식
일반음식점,금천고기사랑,충청북도 청주시 상당구 쇠내로84번길 19 (금천동),충청북도 청주시 상당구 금천동 132-25 ,043 - 223-1307,한식
일반음식점,정스다방,"충청북도 청주시 상당구 수영로207번길 8-16, 주2동 1층 (금천동)",충청북도 청주시 상당구 금천동 132-6 주2동 ,043 -258 -1009,기타
일반음식점,더블핸드스테이크(W Hand Steak),"충청북도 청주시 상당구 수영로196번길 8, 1층 (금천동)",충청북도 청주시 상당구 금천동 134-9 ,043 -223 -3866,김밥(도시락)
일반음식점,빨간집,"충청북도 청주시 상당구 수영로196번길 12-28, 1층 101호 (금천동)",충청북도 청주시 상당구 금천동 139-21 ,043 -221 -8755,한식
일반음식점,홍미가(紅味家),"충청북도 청주시 상당구 수영로196번길 12-28, 1층 103호 (금천동)",충청북도 청주시 상당구 금천동 139-21 ,043 -222 -8259,경양식
일반음식점,국민낙곱새청주상당점,"충청북도 청주시 상당구 수영로196번길 12-28, 1층 102호 (금천동)",충청북도 청주시 상당구 금천동 139-21 ,,경양식
일반음식점,공원실내포장마차,"충청북도 청주시 상당구 쇠내로84번길 26-1 (금천동, 1층)",충청북도 청주시 상당구 금천동 143-15 (1층) ,043 -253 -7356,한식
일반음식점,불맛난매운족발,"충청북도 청주시 상당구 쇠내로84번길 26-2, 1층 (금천동)",충청북도 청주시 상당구 금천동 143-42 1층 ,043 -223 -5800,식육(숯불구이)
일반음식점,황금쭈꾸미,"충청북도 청주시 상당구 영운로96번길 9, 1층 (금천동)",충청북도 청주시 상당구 금천동 157-41 ,,한식
일반음식점,영애네밥집,"충청북도 청주시 상당구 영운로96번길 11 (금천동,(1층))",충청북도 청주시 상당구 금천동 157-42 (1층) ,043 -255 -9903,한식
일반음식점,청담미(味),"충청북도 청주시 상당구 영운로96번길 14-1, 1층 (금천동)",충청북도 청주시 상당구 금천동 157-46 1층 ,,한식
일반음식점,짜장일번지,충청북도 청주시 상당구 영운로96번길 10 (금천동),충청북도 청주시 상당구 금천동 157-48 , 043- 222-7655,중국식
일반음식점,스시김정통초밥,"충청북도 청주시 상당구 영운로 100-1, 2층 (금천동)",충청북도 청주시 상당구 금천동 157-70 ,043 -221 -0760,일식
일반음식점,스시김,"충청북도 청주시 상당구 영운로 100-1, 1층 (금천동)",충청북도 청주시 상당구 금천동 157-70 ,043 -221 -0760,일식
일반음식점,25시해장국,충청북도 청주시 상당구 쇠내로 34 (금천동),충청북도 청주시 상당구 금천동 158-50 , 043- 225-0025,한식
일반음식점,갯마을횟집,,충청북도 청주시 상당구 금천동 158-53 , 043- 225-5992,일식
일반음식점,쌈지생고기,"충청북도 청주시 상당구 영운로 74-1, 1층 (금천동)",충청북도 청주시 상당구 금천동 160-2 ,,한식
일반음식점,허브호프,"충청북도 청주시 상당구 단재로77번길 21-23, 3층 301호 (금천동)",충청북도 청주시 상당구 금천동 160-23 ,043 -237 -4222,호프/통닭
일반음식점,제로커피&푸드,"충청북도 청주시 상당구 영운로 88, 해피상가 1층 (금천동)","충청북도 청주시 상당구 금천동 161-31 해피상가, 1층 ",,기타
일반음식점,미스터.리(Mr.Lee)또바기,"충청북도 청주시 상당구 영운로 79, 1층 (금천동)",충청북도 청주시 상당구 금천동 162-40 1층 ,043 -221 -1544,한식
일반음식점,어매생삼겹살,"충청북도 청주시 상당구 영운로 91-2 (금천동,(1층))",충청북도 청주시 상당구 금천동 162-66 (1층) ,043 - 223-9450,한식
일반음식점,효성식당,"충청북도 청주시 상당구 영운로 91-1, 1층 (금천동)",충청북도 청주시 상당구 금천동 162-69 1층 ,043 - 250-3010,한식
일반음식점,명문바베큐족발,"충청북도 청주시 상당구 영운로 89 (금천동, 1층)",충청북도 청주시 상당구 금천동 162-71 (1층) ,043 -256 -1905,식육(숯불구이)
일반음식점,경아두마리치킨,"충청북도 청주시 상당구 산성로16번길 12-11, 1층 (금천동)",충청북도 청주시 상당구 금천동 171-17 1층 ,043 -259 -5949,통닭(치킨)
일반음식점,민구네칼국수,"충청북도 청주시 상당구 쇠내로 57-10, 1층 (금천동)",충청북도 청주시 상당구 금천동 171-35 1층 ,043 -221 -7107,한식
일반음식점,왕천파닭금천점,"충청북도 청주시 상당구 쇠내로74번길 3-1 (금천동,(1층))",충청북도 청주시 상당구 금천동 172-12 (1층) ,,호프/통닭
일반음식점,찰스생선구이,"충청북도 청주시 상당구 쇠내로74번길 3-1 (금천동,(1층))",충청북도 청주시 상당구 금천동 172-12 (1층) ,,호프/통닭
일반음식점,십삼월,"충청북도 청주시 상당구 쇠내로65번길 4, 2층 (금천동)",충청북도 청주시 상당구 금천동 172-27 2층 ,,한식
일반음식점,나누리장터,"충청북도 청주시 상당구 쇠내로 69-1 (금천동,(1층))",충청북도 청주시 상당구 금천동 172-48 (1층) ,,한식
일반음식점,화당털보네식당,"충청북도 청주시 상당구 쇠내로 78 (금천동,(1층))",충청북도 청주시 상당구 금천동 172-71 (1층) ,043 -222 -3049,한식
일반음식점,도깨비,"충청북도 청주시 상당구 쇠내로91번길 11-1, 1층 (금천동)",충청북도 청주시 상당구 금천동 174-25 1층 ,043 -222 -3393,한식
일반음식점,동산식당,"충청북도 청주시 상당구 산성로16번길 65 (금천동, 1층)",충청북도 청주시 상당구 금천동 176-13 1층 ,,한식
일반음식점,우리엄마손만두,"충청북도 청주시 상당구 산성로16번길 59, 1층 (금천동)",충청북도 청주시 상당구 금천동 177-11 ,043 -2502-037,한식
일반음식점,미소원5단불짬뽕,"충청북도 청주시 상당구 산성로16번길 46 (금천동,1층)",충청북도 청주시 상당구 금천동 177-18 1층 ,043 -224 -1794,호프/통닭
일반음식점,원조임가네해장국,충청북도 청주시 상당구 쇠내로73번길 10 (금천동),충청북도 청주시 상당구 금천동 177-5 , 043- 221-5902,한식
일반음식점,정다운손칼국수,"충청북도 청주시 상당구 산성로38번길 54 (금천동, 1층)",충청북도 청주시 상당구 금천동 178-3 (1층) ,043 -222 -1828,한식
일반음식점,굴담푸드(본점),"충청북도 청주시 상당구 중고개로337번길 96, 2층 (금천동)",충청북도 청주시 상당구 금천동 183-5 ,043 -259 -9999,한식
일반음식점,무모한초밥,"충청북도 청주시 상당구 중고개로337번길 96, 1층 (금천동)",충청북도 청주시 상당구 금천동 183-5 1층 ,043 -223 -2345,일식
일반음식점,금천생고기정육식당,"충청북도 청주시 상당구 산성로28번길 2 (금천동, 1층)",충청북도 청주시 상당구 금천동 185-6 (1층) , 043- 253-9018,분식
일반음식점,"광어두마리17,000원",충청북도 청주시 상당구 산성로 26 (금천동),충청북도 청주시 상당구 금천동 185-7 ,,일식
일반음식점,청화루,"충청북도 청주시 상당구 중고개로337번길 117-1, 1층 (금천동)",충청북도 청주시 상당구 금천동 186-8 1층 ,,중국식
일반음식점,지효분식,"충청북도 청주시 상당구 중고개로337번길 120, 1층 (금천동)",충청북도 청주시 상당구 금천동 187-10 ,,분식
일반음식점,콩나물전주해장국,"충청북도 청주시 상당구 중고개로337번길 127, 1층 (금천동)",충청북도 청주시 상당구 금천동 187-16 1층 ,043 -222 -2921,한식
일반음식점,숙성집,충청북도 청주시 상당구 중고개로337번길 121 (금천동),충청북도 청주시 상당구 금천동 187-20 , 043- 258-2770,한식
일반음식점,꼬꼬치킨&족발,"충청북도 청주시 상당구 중고개로337번길 121, 1층 (금천동)",충청북도 청주시 상당구 금천동 187-20 1층 ,043 -223 -9292,호프/통닭
일반음식점,그대와,"충청북도 청주시 상당구 중고개로337번길 117-2, 1층 (금천동)",충청북도 청주시 상당구 금천동 187-21 1층 ,043 -224 -1045,한식
일반음식점,한복남칼국수,"충청북도 청주시 상당구 산성로 16 (금천동,외1필지(1층))",충청북도 청주시 상당구 금천동 187-3 외1필지(1층) ,,한식
일반음식점,춘향고을남원추어탕,"충청북도 청주시 상당구 산성로38번길 25-7, 1층 (금천동)",충청북도 청주시 상당구 금천동 192-25 1층 ,043 -256 -7200,한식
일반음식점,건우산업&카페옐,"충청북도 청주시 상당구 산성로38번길 23, 1층 (금천동)",충청북도 청주시 상당구 금천동 192-32 1층 ,043 -271 -1214,기타
일반음식점,춘향고을남원추어탕,충청북도 청주시 상당구 중고개로337번길 55-1 (금천동),충청북도 청주시 상당구 금천동 194-12 ,,한식
일반음식점,유다락,"충청북도 청주시 상당구 중고개로337번길 61, 1층 (금천동)",충청북도 청주시 상당구 금천동 194-16 1층 ,,한식
일반음식점,솔모루,충청북도 청주시 상당구 산성로50번길 17 (금천동),충청북도 청주시 상당구 금천동 194-20 ,043 -225 -0890,호프/통닭
일반음식점,큰손소머리국밥,"충청북도 청주시 상당구 산성로50번길 25, 1층 (금천동)",충청북도 청주시 상당구 금천동 194-25 1층 ,043 -221 -4170,탕류(보신용)
일반음식점,영동순대,충청북도 청주시 상당구 산성로 66 (금천동),충청북도 청주시 상당구 금천동 195-1 ,,한식
일반음식점,돈탑,"충청북도 청주시 상당구 중고개로337번길 46-4, 1층 (금천동)",충청북도 청주시 상당구 금천동 195-13 1층 ,,한식
일반음식점,꾸어본조개바다,"충청북도 청주시 상당구 산성로 60, 1층 (금천동)",충청북도 청주시 상당구 금천동 195-14 1층 ,,한식
일반음식점,한양전집,"충청북도 청주시 상당구 중고개로337번길 49-5, 1층 (금천동)",충청북도 청주시 상당구 금천동 195-43 (1층) ,043 -253 -4046,한식
일반음식점,민비아구찜&해물찜(금천점),"충청북도 청주시 상당구 산성로 64 (금천동,(1층))",충청북도 청주시 상당구 금천동 195-7 (1층) ,,한식
일반음식점,슥슥쭈꾸미,"충청북도 청주시 상당구 중고개로337번길 5, 1층 (금천동)",충청북도 청주시 상당구 금천동 197-1 1층 ,043 -260 -8855,한식
일반음식점,방가삼대얼큰한뼈해장국,"충청북도 청주시 상당구 중고개로337번길 7, 2층 (금천동)",충청북도 청주시 상당구 금천동 197-4 2층 ,043 -222 -4220,한식
일반음식점,아구랑아구찜,"충청북도 청주시 상당구 중고개로337번길 19 (금천동, 1층)",충청북도 청주시 상당구 금천동 199-13 (1층) ,043 -224 -2203,한식
일반음식점,할매집,"충청북도 청주시 상당구 중고개로337번길 21 (금천동, 1층)",충청북도 청주시 상당구 금천동 199-14 (1층) ,043 -257 -8255,한식
일반음식점,순대촌,"충청북도 청주시 상당구 중고개로 333 (금천동,(1층))",충청북도 청주시 상당구 금천동 199-2 (1층) ,043 - 256-0779,한식
일반음식점,시골생고기,"충청북도 청주시 상당구 중고개로 333 (금천동, 1층)",충청북도 청주시 상당구 금천동 199-2 (1층) ,043 -222 -9995,식육(숯불구이)
일반음식점,동태랑콩이랑,"충청북도 청주시 상당구 산성로 68 (금천동,101호)",충청북도 청주시 상당구 금천동 199-3 101호 ,,분식
일반음식점,힐링손두부,"충청북도 청주시 상당구 중고개로331번길 15-2, 1층 (금천동)",충청북도 청주시 상당구 금천동 199-6 ,043 -221 -4962,한식
일반음식점,도란도란,충청북도 청주시 상당구 쇠내로59번길 77-1 (금천동),충청북도 청주시 상당구 금천동 201-14 ,043 -232 -8962,호프/통닭
일반음식점,여여,"충청북도 청주시 상당구 쇠내로59번길 83-4, 1층 (금천동)",충청북도 청주시 상당구 금천동 201-6 1층 ,,호프/통닭
일반음식점,고향산천,"충청북도 청주시 상당구 쇠내로73번길 56, 1층 (금천동)",충청북도 청주시 상당구 금천동 202-3 1층 ,043 -224 -7478,한식
일반음식점,청주양념치킨,충청북도 청주시 상당구 수영로259번길 64 (금천동),충청북도 청주시 상당구 금천동 205-6 ,043 -257 -5853,통닭(치킨)
일반음식점,황금떡볶이,"충청북도 청주시 상당구 수영로246번길 2 (금천동, 1층)",충청북도 청주시 상당구 금천동 207-28 (1층) ,043 -221 -7167,분식
일반음식점,최가네식품,"충청북도 청주시 상당구 수영로246번길 2, 103호 (금천동)",충청북도 청주시 상당구 금천동 207-28 103호,,한식
일반음식점,88푸드(FOOD),"충청북도 청주시 상당구 수영로246번길 2, 1층 (금천동)",충청북도 청주시 상당구 금천동 207-28 1층 ,,한식
일반음식점,"카페, 도담","충청북도 청주시 상당구 수영로245번길 4-8, 2층 202호 (금천동, 정원빌딩)",충청북도 청주시 상당구 금천동 212-51 정원빌딩 ,,기타
일반음식점,응급실국물떡볶이청주금천점,"충청북도 청주시 상당구 수영로 255, 2층 202호 (금천동)",충청북도 청주시 상당구 금천동 214 2층 202호,043 -264 -2100,분식
일반음식점,BHC금천점,"충청북도 청주시 상당구 수영로259번길 2, 1층 (금천동)",충청북도 청주시 상당구 금천동 217-1 1층 ,043 - 252-3031,일식
일반음식점,홍보석,충청북도 청주시 상당구 수영로 257 (금천동),충청북도 청주시 상당구 금천동 217-8 ,,분식
